"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L183","AntClassLoader(Project project, Path classpath)","org.apache.tools.ant.AntClassLoader.<init>(Lorg/apache/tools/ant/Project;Lorg/apache/tools/ant/types/Path;)V","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","110","5","117","6","0","0","0","0","0","0","0","0","52.8708","6.42857","735.743","81.4987","28","17","40.8746","114.449","117.095","68.4765","138.698","81.1097","1","0","0","2","1","0.538462","7","6","0.538462","7","6","8","4","2","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","AntClassLoader(Project project, Path classpath, boolean systemFirst)","org.apache.tools.ant.AntClassLoader.<init>(Lorg/apache/tools/ant/Project;Lorg/apache/tools/ant/types/Path;Z)V","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","125","5","128","6","0","0","0","0","0","0","0","0","35.6096","6.4","426.291","56.6418","18","13","23.6828","66.6079","126.478","73.9638","153.472","89.7499","1","0","0","4","1","0.6","6","6","0.6","6","4","4","2","3","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","void addSystemPackageRoot(String packageRoot)","org.apache.tools.ant.AntClassLoader.addSystemPackageRoot(Ljava/lang/String;)V","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","138","5","140","6","0","0","0","0","0","0","0","0","32","5","233.023","37.8674","13","12","12.9457","46.6045","132.996","77.7752","164.723","96.3294","1","0","0","3","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","void addLoaderPackageRoot(String packageRoot)","org.apache.tools.ant.AntClassLoader.addLoaderPackageRoot(Ljava/lang/String;)V","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","150","5","152","6","0","0","0","0","0","0","0","0","32","5","233.023","37.8674","13","12","12.9457","46.6045","132.996","77.7752","164.723","96.3294","1","0","0","0","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","Class forceLoadClass(String classname)","org.apache.tools.ant.AntClassLoader.forceLoadClass(Ljava/lang/String;)Ljava/lang/Class;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","170","5","179","6","1","1","2","1","1","1","10","8","94.7101","16.7143","3027.13","209.261","39","25","168.174","181.11","109.818","64.2209","130.157","76.1154","2","1","1","1","2","0.636364","14","14","0.636364","14","8","10","5","1","8","10","5","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","Class forceLoadSystemClass(String classname)","org.apache.tools.ant.AntClassLoader.forceLoadSystemClass(Ljava/lang/String;)Ljava/lang/Class;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","194","5","203","6","1","1","2","1","1","1","10","8","94.7101","16.7143","3027.13","209.261","39","25","168.174","181.11","109.818","64.2209","129.872","75.9487","2","1","1","0","1","0.619048","13","13","0.619048","13","8","10","5","1","8","10","5","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L237","InputStream getResourceAsStream(String name)","org.apache.tools.ant.AntClassLoader.getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","213","5","225","6","0","0","0","0","0","0","0","0","136.161","21","6144.07","335.458","58","33","341.337","292.575","105.186","61.5121","121.445","71.0205","3","1","1","1","3","0.526316","10","8","0.526316","10","9","13","8","1","9","13","8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L252","InputStream getResourceStream(File file, String resourceName)","org.apache.tools.ant.AntClassLoader.getResourceStream(Ljava/io/File;Ljava/lang/String;)Ljava/io/InputStream;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","237","5","281","6","0","0","0","0","0","0","0","0","319.768","47.3","45236.1","1269.57","160","63","2513.11","956.365","74.122","43.3462","66.1848","38.7045","8","5","5","2","0","0.235294","12","10","0.235294","12","39","45","23","2","39","45","23","0","2","3","2","2","0","0","2","0","0","1","0","0","1","0","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0"
"L308","Class loadClass(String classname, boolean resolve)","org.apache.tools.ant.AntClassLoader.loadClass(Ljava/lang/String;Z)Ljava/lang/Class;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","299","5","351","6","0.481283","1","4","2","0.377358","0.454545","20","20","288.382","36.1481","41891.4","1206.19","197","59","2327.3","1158.88","70.709","41.3503","64.9183","37.9639","10","3","3","0","2","0.301587","19","16","0.301587","19","44","53","29","2","44","53","29","0","0","7","1","1","1","0","1","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L325","String getClassFilename(String classname)","org.apache.tools.ant.AntClassLoader.getClassFilename(Ljava/lang/String;)Ljava/lang/String;","L151","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","361","5","363","6","0","0","0","0","0","0","0","0","35.6096","4.8","266.432","41.4054","15","13","14.8018","55.5066","132.087","77.2437","163.412","95.5625","1","0","0","1","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
