"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1756","241~CloneInstance","C520","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","170","5","179","6","1","2","9","10","1","0"
"C1757","242~CloneInstance","C520","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","194","5","203","6","1","2","5","10","1","0"
"C1366","153~CloneInstance","C363","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","324","33","333","14","1","2","13","10","1","0"
"C1367","154~CloneInstance","C363","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","334","18","343","14","1","2","13","10","1","0"
"C1316","133~CloneInstance","C345","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","252","9","262","10","1","4","9","11","1","0"
"C1720","229~CloneInstance","C506","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","229","9","262","10","1","7","9","34","1","1"
"C944","48~CloneInstance","C220","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","370","13","379","32","1","2","12","10","1","0"
"C1317","134~CloneInstance","C345","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","314","9","324","10","1","4","9","11","1","0"
"C1318","135~CloneInstance","C345","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","341","9","351","10","1","4","9","11","1","0"
"C1721","230~CloneInstance","C506","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","291","9","324","10","1","7","49","34","1","1"
"C945","49~CloneInstance","C220","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","509","13","518","32","1","2","12","10","1","0"
"C1595","192~CloneInstance","C456","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","462","9","478","10","1","6","11","17","1","0"
"C1596","193~CloneInstance","C456","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","481","9","497","10","1","6","11","17","1","0"
"C1723","233~CloneInstance","C507","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","426","5","548","6","1","28","4","123","1","2"
"C1633","213~CloneInstance","C473","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","599","5","613","6","1","4","7","15","1","0"
"C1634","214~CloneInstance","C473","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","626","5","640","6","1","4","1","15","1","0"
"C1554","172~CloneInstance","C437","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","661","9","675","41","1","3","11","15","1","0"
"C849","28~CloneInstance","C193","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","746","16","765","14","1","6","28","20","1","0"
"C1585","188~CloneInstance","C452","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","765","20","775","14","1","4","11","11","1","0"
"C833","20~CloneInstance","C186","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","228","11","237","10","1","4","2","10","1","0"
"C834","21~CloneInstance","C186","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","251","11","260","10","1","4","2","10","1","0"
"C835","22~CloneInstance","C186","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","279","11","288","10","1","4","2","10","1","0"
"C1758","244~CloneInstance","C521","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","294","5","303","6","1","2","175","10","1","1"
"C1759","245~CloneInstance","C521","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","308","5","317","6","1","2","19","10","1","0"
"C1339","137~CloneInstance","C352","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\Project.java","144","9","170","10","1","6","4","27","1","0"
"C1340","138~CloneInstance","C352","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\Project.java","172","9","198","10","1","6","4","27","1","0"
"C549","2~CloneInstance","C106","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\XmlLogger.java","279","9","288","26","1","3","6","10","1","0"
"C1729","236~CloneInstance","C510","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\XmlLogger.java","237","9","259","53","1","3","17","23","1","0"
"C881","40~CloneInstance","C201","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","108","9","132","10","1","6","29","25","1","0"
"C882","41~CloneInstance","C201","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","136","9","160","10","1","6","29","25","1","0"
"C1302","117~CloneInstance","C340","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","108","9","133","72","1","6","30","26","1","0"
"C1303","118~CloneInstance","C340","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","141","9","166","83","1","6","30","26","1","0"
"C1304","120~CloneInstance","C341","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","108","9","127","10","1","5","28","20","1","0"
"C1305","121~CloneInstance","C341","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","136","9","155","10","1","5","28","20","1","0"
"C1306","123~CloneInstance","C342","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","108","9","122","10","1","4","27","15","1","0"
"C1307","124~CloneInstance","C342","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","136","9","150","10","1","4","27","15","1","0"
