"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L8557","CopyfileTest","org.apache.tools.ant.taskdefs.CopyfileTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\CopyfileTest.java","60","1","100","2","0","0","0","0","0","0","0","0","3","1","1","8","1","0","0","5","12","0.125","0.216216","8","3","1","7","0.216216","8","1","1","0","0","1","29","41","4","2","0","0","7","0","7","1","15","11","0","8","1","29","41","4","2","0","0","7","0","7","1","15","11","0","8","1","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8567","DeleteTest","org.apache.tools.ant.taskdefs.DeleteTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\DeleteTest.java","60","1","86","2","0","0","0","0","0","0","0","0","2","0","0","5","1","0","0","4","9","0.333333","0.291667","7","7","2","4","0.291667","7","1","1","0","0","1","17","27","4","2","0","0","5","0","5","1","13","5","0","6","1","17","27","4","2","0","0","5","0","5","1","13","5","0","6","1","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8579","DeltreeTest","org.apache.tools.ant.taskdefs.DeltreeTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\DeltreeTest.java","60","1","79","2","0","0","0","0","0","0","0","0","2","0","0","4","1","0","0","4","8","0.2","0.222222","4","3","1","4","0.222222","4","1","1","0","0","1","14","20","4","2","0","0","4","0","4","1","12","4","0","5","1","14","20","4","2","0","0","4","0","4","1","12","4","0","5","1","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8586","EchoTest","org.apache.tools.ant.taskdefs.EchoTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\EchoTest.java","60","1","89","2","0","0","0","0","0","0","0","0","1","0","0","5","1","0","0","3","8","0.5","0.178571","5","5","3","3","0.178571","5","1","1","0","0","1","23","30","4","2","0","0","5","0","5","1","13","5","0","6","1","23","30","4","2","0","0","5","0","5","1","13","5","0","6","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8598","FailTest","org.apache.tools.ant.taskdefs.FailTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\FailTest.java","60","1","77","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","3","7","0.2","0.176471","3","3","1","4","0.176471","3","1","1","0","0","1","14","18","4","2","0","0","4","0","4","1","12","4","0","5","1","14","18","4","2","0","0","4","0","4","1","12","4","0","5","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8605","FilterTest","org.apache.tools.ant.taskdefs.FilterTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\FilterTest.java","66","1","142","2","0","0","0","0","0","0","0","0","3","2","2","14","1","0","0","4","15","0.0909091","0.0454545","3","3","1","10","0.0454545","3","1","1","0","0","1","63","77","5","3","1","1","11","0","10","1","19","28","0","11","1","63","77","5","3","1","1","11","0","10","1","19","28","0","11","1","0","2","26","0","0","0","0","0","0","0","1","0","0","0","0","0","25","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"L8624","GetTest","org.apache.tools.ant.taskdefs.GetTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\GetTest.java","60","1","101","2","0","0","0","0","0","0","0","0","2","1","1","9","1","0","0","4","12","0.111111","0.0857143","3","3","1","8","0.0857143","3","1","1","0","0","1","32","42","4","3","0","1","8","0","8","1","16","12","0","9","1","32","42","4","3","0","1","8","0","8","1","16","12","0","9","1","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8635","GUnzipTest","org.apache.tools.ant.taskdefs.GUnzipTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\GUnzipTest.java","60","1","90","2","0","0","0","0","0","0","0","0","2","2","2","7","1","0","0","4","9","0.166667","0.107143","3","3","1","5","0.107143","3","1","1","0","0","1","25","31","4","2","0","0","5","0","5","1","13","12","0","6","1","25","31","4","2","0","0","5","0","5","1","13","12","0","6","1","0","0","14","0","1","0","0","0","0","1","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8643","GzipTest","org.apache.tools.ant.taskdefs.GzipTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\GzipTest.java","60","1","95","2","0","0","0","0","0","0","0","0","2","1","1","8","1","0","0","4","11","0.125","0.129032","4","3","1","7","0.129032","4","1","1","0","0","1","27","36","4","2","0","0","7","0","7","1","15","10","0","8","1","27","36","4","2","0","0","7","0","7","1","15","10","0","8","1","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8653","MkdirTest","org.apache.tools.ant.taskdefs.MkdirTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\MkdirTest.java","60","1","90","2","0","0","0","0","0","0","0","0","2","1","1","7","1","0","0","5","10","0.166667","0.107143","3","3","1","5","0.107143","3","1","1","0","0","1","25","31","4","2","0","0","5","0","5","1","13","11","0","6","1","25","31","4","2","0","0","5","0","5","1","13","11","0","6","1","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
