"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C106","0~CloneClass","L103","1","4","75","7.89474","0.586667","2","11","4.63158","1","0.0526316","0"
"C110","3~CloneClass","L103","1","6","11","2.31579","6.54545","2","12","15.1579","1","0.105263","0"
"C111","6~CloneClass","L103","1","8","28","5.89474","3.42857","2","12","20.2105","1","0.105263","0"
"C120","9~CloneClass","L103","1","2","59","12.4211","0.338983","2","10","4.21053","1","0.105263","0"
"C161","12~CloneClass","L103","1","6","37","3.89474","1.62162","2","10","6.31579","1","0.0526316","0"
"C199","15~CloneClass","L103","1","2","131","13.7895","0.183206","2","12","2.52632","1","0.0526316","1"
"C211","18~CloneClass","L103","1","6","89","18.7368","1.04494","2","15.5","19.5789","1","0.105263","0"
"C218","21~CloneClass","L103","1","4","57","6","0.842105","2","12","5.05263","1","0.0526316","0"
"C225","24~CloneClass","L103","1","9","130","41.0526","0.992308","3","14.3333","40.7368","1","0.105263","2"
"C231","28~CloneClass","L103","1","6","21","11.0526","3.14286","2","11","34.7368","1","0.263158","1"
"C233","31~CloneClass","L103","1","12","7","1.10526","17.1429","3","10","18.9474","1","0.0526316","2"
"C235","35~CloneClass","L103","1","8","27","5.68421","3.55556","2","12","20.2105","1","0.105263","0"
"C249","38~CloneClass","L103","1","12","81","42.6316","2.96296","2","20","126.316","1","0.263158","2"
"C250","41~CloneClass","L103","1","4","107","22.5263","0.448598","2","12","10.1053","1","0.105263","1"
"C254","44~CloneClass","L103","1","8","61","12.8421","2.7541","2","21","35.3684","1","0.105263","0"
"C255","47~CloneClass","L103","1","9","88","27.7895","1.46591","3","14.3333","40.7368","1","0.105263","1"
"C256","51~CloneClass","L103","1","12","59","6.21053","5.08475","2","25","31.5789","1","0.0526316","1"
"C257","54~CloneClass","L103","1","9","88","23.1579","1.43182","3","14","33.1579","1","0.0877193","1"
"C284","58~CloneClass","L103","1","6","37","21.4211","1.67568","3","10.3333","35.8947","1","0.192982","2"
"C303","62~CloneClass","L103","1","2","15","1.57895","1.46667","2","11","2.31579","1","0.0526316","0"
"C306","65~CloneClass","L103","1","2","24","2.52632","0.875","2","10.5","2.21053","1","0.0526316","0"
"C310","68~CloneClass","L103","1","2","19","2","1.26316","2","12","2.52632","1","0.0526316","0"
"C311","71~CloneClass","L103","1","2","21","2.21053","1.04762","2","11","2.31579","1","0.0526316","0"
"C384","74~CloneClass","L103","1","12","148","23.3684","1.7027","3","21","39.7895","1","0.0526316","3"
"C385","78~CloneClass","L103","1","12","181","38.1053","0.928177","4","14","35.3684","1","0.0526316","3"
"C419","83~CloneClass","L103","1","4","57","6","0.912281","2","13","5.47368","1","0.0526316","0"
"C430","86~CloneClass","L103","1","6","20","2.10526","3.9","2","13","8.21053","1","0.0526316","0"
"C435","89~CloneClass","L103","1","4","139","29.2632","0.388489","2","13.5","11.3684","1","0.105263","1"
"C446","92~CloneClass","L103","1","4","69","14.5263","0.724638","2","12.5","10.5263","1","0.105263","0"
"C459","95~CloneClass","L103","1","12","57","24","2.10526","3","10","50.5263","1","0.140351","2"
"C465","99~CloneClass","L103","1","9","26","4.10526","3.80769","3","11","15.6316","1","0.0526316","1"
"C469","103~CloneClass","L103","1","8","31","3.26316","3.6129","2","14","11.7895","1","0.0526316","0"
"C483","106~CloneClass","L103","1","8","87","9.1579","1.37931","2","15","12.6316","1","0.0526316","0"
"C484","109~CloneClass","L103","1","9","124","19.5789","0.725806","3","10","14.2105","1","0.0526316","2"
"C486","113~CloneClass","L103","1","10","103","10.8421","2.62136","2","27","28.4211","1","0.0526316","1"
"C487","116~CloneClass","L103","1","12","142","22.4211","1.69014","3","20","37.8947","1","0.0526316","3"
"C488","120~CloneClass","L103","1","15","216","56.8421","0.902778","5","13","51.3158","1","0.0526316","3"
"C491","126~CloneClass","L103","1","6","91","19.1579","1.12088","2","17","21.4737","1","0.105263","0"
"C494","129~CloneClass","L103","1","6","175","46.0526","0.342857","3","10","15.7895","1","0.0877193","2"
"C495","133~CloneClass","L103","1","12","61","6.42105","5.11475","2","26","32.8421","1","0.0526316","1"
"C496","136~CloneClass","L103","1","10","57","6","3.50877","2","20","21.0526","1","0.0526316","0"
"C497","139~CloneClass","L103","1","12","82","12.9474","2.19512","3","15","28.4211","1","0.0526316","2"
"C498","143~CloneClass","L103","1","15","131","34.4737","1.14504","5","10","39.4737","1","0.0526316","3"
"C500","149~CloneClass","L103","1","12","28","4.42105","4.71429","3","11","20.8421","1","0.0526316","2"
"C516","153~CloneClass","L103","1","12","9","0.947368","36","2","27","34.1053","1","0.0526316","1"
"C526","156~CloneClass","L103","1","4","41","4.31579","0.97561","2","10","4.21053","1","0.0526316","0"
"C533","159~CloneClass","L103","1","4","51","5.36842","0.901961","2","11.5","4.84211","1","0.0526316","0"
"C534","162~CloneClass","L103","1","6","25","2.63158","3.12","2","13","8.21053","1","0.0526316","0"
