"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\.columbus_java\Apache1.3.ljsi","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\.columbus_java\Apache1.3.ljsi","0.0779497","107","890","1536.18","2.92917","266","0.0374963","0.0777581","0.214976","3006","2593","0.0917527","0.683422","0.536429","38588","2053","951","33347","80168","1709","498","66","2","385","687","30","3449","16620","233","394","0","26","41","2810","981","0","395","6320","594","3132","200","0","1498","826","0","623","0","95","0","381","0","0","0","9","0","689","0","0","0","0"
"L102","<System>","<System>","0.0779497","107","890","1536.18","2.92917","266","0.0374963","0.0777581","0.214976","3006","2593","0.0917527","0.683422","0.536429","38588","2053","951","33347","80168","1709","498","66","2","385","687","30","3449","16620","233","394","0","26","41","2810","981","0","395","6320","594","3132","200","0","1498","826","0","623","0","95","0","381","0","0","0","9","0","689","0","0","0","0"
