"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C3016","356~CloneInstance","C842","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","203","5","212","6","1","2","9","10","1","0"
"C3017","357~CloneInstance","C842","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","227","5","236","6","1","2","6","10","1","0"
"C3015","354~CloneInstance","C841","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DefaultLogger.java","184","5","200","6","1","5","7","17","1","0"
"C2104","150~CloneInstance","C500","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","252","9","262","10","1","4","9","11","1","0"
"C2923","310~CloneInstance","C811","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","229","9","262","10","1","7","9","34","1","1"
"C1499","60~CloneInstance","C284","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","370","13","379","32","1","2","12","10","1","0"
"C2105","151~CloneInstance","C500","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","314","9","324","10","1","4","9","11","1","0"
"C2106","152~CloneInstance","C500","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","341","9","351","10","1","4","9","11","1","0"
"C2924","311~CloneInstance","C811","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","291","9","324","10","1","7","49","34","1","1"
"C1500","61~CloneInstance","C284","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","509","13","518","32","1","2","12","10","1","0"
