"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L5053","AntClassLoader","org.apache.tools.ant.AntClassLoader","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","72","1","520","2","0.0750552","1","4","2","0.0445434","0.0695652","20","16","1","5","5","49","2","10","11","4","19","1","0.436274","178","165","10","0","0.436274","178","0","0","0","0","0","230","449","9","4","9","4","15","0","9","1","15","124","0","9","1","230","449","9","4","9","4","15","0","9","1","15","124","0","9","1","0","4","22","11","16","1","0","13","12","2","0","4","0","0","6","0","4","0","0","6","0","0","0","0","0","0","4","0","0","0","2","0"
"L1973","BuildEvent","org.apache.tools.ant.BuildEvent","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\BuildEvent.java","58","1","164","2","0","0","0","0","0","0","0","0","0","0","0","11","3","16","28","3","14","0.75","0.463158","44","44","9","3","0.463158","44","0","0","0","0","0","51","107","6","6","6","6","11","0","11","2","11","21","0","11","2","51","107","6","6","6","6","11","0","11","2","11","21","0","11","2","0","0","7","0","4","0","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L2199","BuildException","org.apache.tools.ant.BuildException","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\BuildException.java","64","1","193","2","0","0","0","0","0","0","0","0","1","1","1","16","1","183","279","1","15","0.866667","0.470588","56","56","13","2","0.470588","56","0","0","0","0","0","63","130","2","2","2","2","14","0","14","1","14","27","0","14","1","63","130","2","2","2","2","14","0","14","1","14","27","0","14","1","0","0","5","0","1","6","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5383","DefaultLogger","org.apache.tools.ant.DefaultLogger","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DefaultLogger.java","64","1","202","2","0.220238","1","5","1","0.122302","0.189189","17","14","4","4","4","23","5","4","5","7","19","0.5","0.362069","42","39","6","6","0.362069","42","2","2","1","1","1","74","139","7","0","7","0","12","0","11","4","12","30","0","11","4","74","139","7","0","7","0","12","0","11","4","12","30","0","11","4","0","0","30","0","15","0","0","11","11","0","1","2","0","0","0","0","15","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"L5448","DesirableFilter","org.apache.tools.ant.DesirableFilter","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DesirableFilter.java","67","1","110","2","0","0","0","0","0","0","0","0","1","1","1","8","0","0","0","0","1","1","0.512195","21","10","2","0","0.512195","21","0","0","0","0","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5458","DirectoryScanner","org.apache.tools.ant.DirectoryScanner","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\DirectoryScanner.java","136","1","959","2","0.58235","10","95","16","0.362864","0.550847","299","260","1","5","5","136","2","37","38","1","23","1","0.411471","330","283","15","0","0.411471","330","1","1","3","3","1","472","824","11","7","11","7","22","0","14","4","22","353","0","14","4","472","824","11","7","11","7","22","0","14","4","22","353","0","14","4","0","7","84","8","28","5","0","35","60","1","0","8","0","0","1","0","8","1","0","4","0","0","0","0","0","0","1","0","0","0","8","0"
"L5614","IntrospectionHelper","org.apache.tools.ant.IntrospectionHelper","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\IntrospectionHelper.java","71","1","521","2","0.118207","2","16","5","0.110865","0.146417","50","47","1","14","3","71","8","5","11","4","16","1","0.251634","77","63","10","0","0.193467","77","0","0","0","0","0","229","343","7","6","7","6","12","0","9","1","12","116","0","9","1","321","451","7","6","7","6","30","0","27","1","30","142","0","27","1","0","2","144","9","58","3","0","20","29","29","0","5","0","0","13","0","105","0","0","4","0","1","0","0","1","0","2","0","0","0","4","0"
"L5278","Location","org.apache.tools.ant.Location","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\Location.java","60","1","111","2","0","0","0","0","0","0","0","0","1","2","2","6","0","9","4","0","4","1","0.369565","17","17","4","0","0.369565","17","0","0","0","0","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","0","0","4","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L5911","Main","org.apache.tools.ant.Main","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\Main.java","73","1","610","2","0.0150418","1","3","1","0.0204461","0.0302198","11","11","1","15","3","82","7","0","0","18","31","1","0.251029","122","84","2","0","0.251029","122","0","0","0","0","0","364","538","12","1","12","1","13","1","1","0","13","254","1","1","0","364","538","12","1","12","1","13","1","1","0","13","254","1","1","0","0","21","37","37","62","2","0","55","7","5","0","4","0","1","14","0","16","0","0","5","0","0","0","0","0","0","41","0","0","0","9","0"
"L6053","NoBannerLogger","org.apache.tools.ant.NoBannerLogger","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\NoBannerLogger.java","62","1","89","2","0","0","0","0","0","0","0","0","1","1","1","7","3","0","0","5","8","0.25","0.192308","5","5","1","3","0.192308","5","3","3","0","0","1","21","28","8","0","1","0","3","0","3","0","15","8","0","14","4","21","28","8","0","1","0","3","0","3","0","15","8","0","14","4","0","0","9","0","3","0","0","3","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
