"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L5088","AntClassLoader(Project project, Path classpath)","org.apache.tools.ant.AntClassLoader.<init>(Lorg/apache/tools/ant/Project;Lorg/apache/tools/ant/types/Path;)V","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","133","5","140","6","0","0","0","0","0","0","0","0","62.0537","6.875","934.544","95.5872","32","19","51.9191","135.934","116.2","67.9533","138.644","81.0786","1","0","0","5","2","0.6","9","8","0.6","9","6","8","4","2","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5100","AntClassLoader(Project project, Path classpath, boolean systemFirst)","org.apache.tools.ant.AntClassLoader.<init>(Lorg/apache/tools/ant/Project;Lorg/apache/tools/ant/types/Path;Z)V","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","148","5","151","6","0","0","0","0","0","0","0","0","35.6096","6.4","426.291","56.6418","18","13","23.6828","66.6079","126.478","73.9638","153.472","89.7499","1","0","0","6","1","0.6","6","6","0.6","6","4","4","2","3","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5107","void setIsolated(boolean isolated)","org.apache.tools.ant.AntClassLoader.setIsolated(Z)V","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","158","5","160","6","0","0","0","0","0","0","0","0","16.3645","3.33333","90","20.083","9","8","5","27","135.834","79.4352","167.404","97.8972","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5098","void addSystemPackageRoot(String packageRoot)","org.apache.tools.ant.AntClassLoader.addSystemPackageRoot(Ljava/lang/String;)V","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","171","5","173","6","0","0","0","0","0","0","0","0","32","5","233.023","37.8674","13","12","12.9457","46.6045","132.996","77.7752","164.723","96.3294","1","0","0","3","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5114","void addLoaderPackageRoot(String packageRoot)","org.apache.tools.ant.AntClassLoader.addLoaderPackageRoot(Ljava/lang/String;)V","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","183","5","185","6","0","0","0","0","0","0","0","0","32","5","233.023","37.8674","13","12","12.9457","46.6045","132.996","77.7752","164.723","96.3294","1","0","0","0","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5118","Class forceLoadClass(String classname)","org.apache.tools.ant.AntClassLoader.forceLoadClass(Ljava/lang/String;)Ljava/lang/Class;","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","203","5","212","6","1","1","2","1","1","1","10","8","94.7101","16.7143","3027.13","209.261","39","25","168.174","181.11","109.818","64.2209","130.157","76.1154","2","1","1","1","2","0.636364","14","14","0.636364","14","8","10","5","1","8","10","5","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5129","Class forceLoadSystemClass(String classname)","org.apache.tools.ant.AntClassLoader.forceLoadSystemClass(Ljava/lang/String;)Ljava/lang/Class;","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","227","5","236","6","1","1","2","1","1","1","10","8","94.7101","16.7143","3027.13","209.261","39","25","168.174","181.11","109.818","64.2209","129.872","75.9487","2","1","1","0","2","0.619048","13","13","0.619048","13","8","10","5","1","8","10","5","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5134","InputStream getResourceAsStream(String name)","org.apache.tools.ant.AntClassLoader.getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","246","5","258","6","0","0","0","0","0","0","0","0","136.161","21","6144.07","335.458","58","33","341.337","292.575","105.186","61.5121","121.445","71.0205","3","1","1","1","3","0.526316","10","8","0.526316","10","9","13","8","1","9","13","8","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5144","InputStream getResourceStream(File file, String resourceName)","org.apache.tools.ant.AntClassLoader.getResourceStream(Ljava/io/File;Ljava/lang/String;)Ljava/io/InputStream;","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","270","5","314","6","0","0","0","0","0","0","0","0","319.768","47.3","45236.1","1269.57","160","63","2513.11","956.365","74.122","43.3462","66.1848","38.7045","8","5","5","2","0","0.235294","12","10","0.235294","12","39","45","23","2","39","45","23","0","2","3","2","2","0","0","2","0","0","1","0","0","1","0","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0"
"L5187","Class loadClass(String classname, boolean resolve)","org.apache.tools.ant.AntClassLoader.loadClass(Ljava/lang/String;Z)Ljava/lang/Class;","L5053","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.3\jakarta-ant-1.3\src\main\org\apache\tools\ant\AntClassLoader.java","332","5","387","6","0","0","0","0","0","0","0","0","301.071","37.125","44696.3","1259.45","203","61","2483.13","1203.94","69.2122","40.4749","62.2086","36.3793","11","4","4","0","3","0.287879","19","16","0.287879","19","47","56","31","2","47","56","31","0","0","2","1","1","1","0","1","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
