"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C116","0~CloneClass","L103","1","14","75","10","7.46667","2","40","74.6667","1","0.0666667","2"
"C121","3~CloneClass","L103","1","10","33","4.4","4.84848","2","16","21.3333","1","0.0666667","0"
"C122","6~CloneClass","L103","1","12","37","7.4","4.10811","3","12.6667","30.4","1","0.0666667","2"
"C151","10~CloneClass","L103","1","4","57","7.6","0.842105","2","12","6.4","1","0.0666667","0"
"C152","13~CloneClass","L103","1","9","67","13.4","3.35821","3","25","45","1","0.0666667","1"
"C153","17~CloneClass","L103","1","4","43","5.73333","0.930233","2","10","5.33333","1","0.0666667","0"
"C156","20~CloneClass","L103","1","12","7","1.4","17.1429","3","10","24","1","0.0666667","2"
"C161","24~CloneClass","L103","1","14","25","3.33333","6.72","2","12","22.4","1","0.0666667","1"
"C162","27~CloneClass","L103","1","12","21","2.8","5.71429","2","10","16","1","0.0666667","1"
"C170","30~CloneClass","L103","1","12","59","7.86667","5.08475","2","25","40","1","0.0666667","1"
"C178","33~CloneClass","L103","1","4","25","3.33333","1.6","2","10","5.33333","1","0.0666667","0"
"C209","36~CloneClass","L103","1","4","21","11.2","2.19048","2","11.5","24.5333","1","0.266667","1"
"C213","39~CloneClass","L103","1","12","148","29.6","1.7027","3","21","50.4","1","0.0666667","3"
"C214","43~CloneClass","L103","1","12","181","48.2667","0.928177","4","14","44.8","1","0.0666667","3"
"C237","48~CloneClass","L103","1","8","25","3.33333","5.44","2","17","18.1333","1","0.0666667","0"
"C238","51~CloneClass","L103","1","9","25","5","3.96","3","11","19.8","1","0.0666667","1"
"C243","55~CloneClass","L103","1","8","87","11.6","1.37931","2","15","16","1","0.0666667","0"
"C244","58~CloneClass","L103","1","9","124","24.8","0.725806","3","10","18","1","0.0666667","2"
"C246","62~CloneClass","L103","1","10","103","13.7333","2.62136","2","27","36","1","0.0666667","1"
"C247","65~CloneClass","L103","1","12","142","28.4","1.69014","3","20","48","1","0.0666667","3"
"C248","69~CloneClass","L103","1","15","216","72","0.902778","5","13","65","1","0.0666667","3"
"C250","75~CloneClass","L103","1","12","61","8.13333","5.11475","2","26","41.6","1","0.0666667","1"
"C251","78~CloneClass","L103","1","10","57","7.6","3.50877","2","20","26.6667","1","0.0666667","0"
"C252","81~CloneClass","L103","1","12","82","16.4","2.19512","3","15","36","1","0.0666667","2"
"C253","85~CloneClass","L103","1","15","131","43.6667","1.14504","5","10","50","1","0.0666667","3"
"C255","91~CloneClass","L103","1","8","19","2.53333","4.63158","2","11","11.7333","1","0.0666667","0"
"C262","94~CloneClass","L103","1","4","41","5.46667","0.97561","2","10","5.33333","1","0.0666667","0"
"C293","97~CloneClass","L103","1","8","28","7.46667","3.42857","2","12","25.6","1","0.133333","0"
"C311","100~CloneClass","L103","1","6","41","10.9333","2.63415","2","18","28.8","1","0.133333","0"
"C313","103~CloneClass","L103","1","4","65","8.66667","0.615385","2","10","5.33333","1","0.0666667","0"
"C322","106~CloneClass","L103","1","12","23","3.06667","8.86957","2","17","27.2","1","0.0666667","1"
"C325","109~CloneClass","L103","1","2","25","3.33333","1.12","2","14","3.73333","1","0.0666667","0"
"C328","112~CloneClass","L103","1","6","21","2.8","3.71429","2","13","10.4","1","0.0666667","0"
"C329","115~CloneClass","L103","1","8","9","1.2","13.3333","2","15","16","1","0.0666667","0"
"C330","118~CloneClass","L103","1","6","7","1.86667","9.42857","2","11","17.6","1","0.133333","0"
"C340","121~CloneClass","L103","1","6","29","3.86667","2.27586","2","11","8.8","1","0.0666667","0"
"C343","124~CloneClass","L103","1","9","13","2.6","7.61538","3","11","19.8","1","0.0666667","1"
"C347","128~CloneClass","L103","1","6","39","10.4","2","2","13","20.8","1","0.133333","0"
"C350","131~CloneClass","L103","1","4","5","1.33333","10.4","2","13","13.8667","1","0.133333","0"
"C351","134~CloneClass","L103","1","4","193","25.7333","0.207254","2","10","5.33333","1","0.0666667","1"
