"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L121","MailMessage","com.oreilly.servlet.MailMessage","L106","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","127","1","402","2","0","0","0","0","0","0","0","0","1","5","3","47","1","0","0","2","29","1","0.434505","136","126","11","0","0.434505","136","0","0","0","0","0","177","276","8","2","8","2","27","0","10","5","27","102","0","10","5","177","276","8","2","8","2","27","0","10","5","27","102","0","10","5","0","2","35","3","36","1","0","7","0","29","0","1","0","0","0","0","32","0","0","4","0","0","0","0","0","0","1","0","0","0","2","0"
"L141","MailPrintStream","com.oreilly.servlet.MailPrintStream","L106","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","407","1","448","2","0","0","0","0","0","0","0","0","1","2","1","11","0","1","2","0","5","0.5","0.190476","8","5","2","2","0.190476","8","0","0","0","0","0","34","42","1","0","1","0","5","0","3","0","5","19","0","3","0","34","42","1","0","1","0","5","0","3","0","5","19","0","3","0","0","0","11","0","3","0","0","0","0","3","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L404","BuildEvent","org.apache.tools.ant.BuildEvent","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\BuildEvent.java","59","1","166","2","0","0","0","0","0","0","0","0","0","0","0","11","3","4","17","3","14","0.75","0.463158","44","44","9","3","0.463158","44","0","0","0","0","0","51","108","6","6","6","6","11","0","11","2","11","21","0","11","2","51","108","6","6","6","6","11","0","11","2","11","21","0","11","2","0","0","7","0","3","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L468","BuildException","org.apache.tools.ant.BuildException","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\BuildException.java","63","1","162","2","0","0","0","0","0","0","0","0","1","0","0","10","1","64","92","1","11","1","0.563218","49","49","11","0","0.563218","49","0","0","0","0","0","38","100","2","2","2","2","10","0","10","1","10","14","0","10","1","38","100","2","2","2","2","10","0","10","1","10","14","0","10","1","0","0","0","0","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L553","DefaultLogger","org.apache.tools.ant.DefaultLogger","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DefaultLogger.java","64","1","162","2","0.163121","1","2","1","0.131313","0.153846","13","10","4","3","3","17","6","2","2","8","17","0.333333","0.207317","17","14","3","6","0.207317","17","1","1","0","0","1","65","99","4","0","4","0","9","0","8","0","9","31","0","8","0","65","99","4","0","4","0","9","0","8","0","9","31","0","8","0","0","0","30","0","12","0","0","7","10","0","1","0","0","0","2","0","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L612","DesirableFilter","org.apache.tools.ant.DesirableFilter","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DesirableFilter.java","68","1","111","2","0","0","0","0","0","0","0","0","1","1","1","8","0","0","0","0","1","1","0.512195","21","10","2","0","0.512195","21","0","0","0","0","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L629","DirectoryScanner","org.apache.tools.ant.DirectoryScanner","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","136","1","827","2","0.262371","4","32","8","0.153179","0.246154","106","96","1","5","4","113","0","16","16","0","19","1","0.424779","288","257","15","0","0.424779","288","0","0","0","0","0","390","692","10","7","10","7","19","0","14","4","19","293","0","14","4","390","692","10","7","10","7","19","0","14","4","19","293","0","14","4","0","6","51","8","23","3","0","31","32","1","0","6","0","0","0","0","6","1","0","4","0","0","0","0","0","0","0","0","0","0","7","0"
"L761","EnumeratedAttribute","org.apache.tools.ant.EnumeratedAttribute","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\EnumeratedAttribute.java","66","1","112","2","0","0","0","0","0","0","0","0","1","2","2","10","1","8","7","1","6","0.833333","0.469388","23","23","5","1","0.469388","23","0","0","3","3","0","26","47","1","2","1","2","5","0","5","1","5","13","0","5","1","26","47","1","2","1","2","5","0","5","1","5","13","0","5","1","0","0","5","0","4","0","0","1","0","1","0","0","0","0","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L779","IntrospectionHelper","org.apache.tools.ant.IntrospectionHelper","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","68","1","510","2","0.12","2","16","5","0.112867","0.148734","50","47","1","13","3","71","7","5","11","4","16","1","0.250825","76","63","10","0","0.193878","76","0","0","0","0","0","227","339","7","6","7","6","12","0","9","1","12","114","0","9","1","316","443","7","6","7","6","29","0","26","1","29","139","0","26","1","0","2","139","9","55","3","0","20","29","26","0","5","0","0","13","0","100","0","0","4","0","1","0","0","1","0","2","0","0","0","4","0"
"L477","Location","org.apache.tools.ant.Location","L371","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\Location.java","60","1","111","2","0","0","0","0","0","0","0","0","1","2","2","6","0","6","5","0","4","1","0.369565","17","17","4","0","0.369565","17","0","0","0","0","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","0","0","4","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
